X,Y,LAYER
84.351,115.254,3

89.219,113.737,3

93.876,111.656,3

98.250,109.010,3

102.272,105.870,3

105.870,102.237,3

109.010,98.250,3

111.656,93.876,3

113.737,89.219,3

115.254,84.351,3

116.172,79.341,3

117.124,74.226,4

122.239,74.226,4

121.957,69.146,4

121.146,64.101,4

119.805,59.162,4

117.936,54.399,4

115.607,49.848,4

112.785,45.615,4

109.504,41.664,4

105.835,38.101,4

101.813,34.961,4

97.509,32.244,4

92.888,30.022,4

88.090,28.258,4

83.116,27.058,4

78.071,26.388,4

72.956,26.247,4

67.876,26.670,4

62.831,27.588,4

57.962,29.069,4

53.235,31.080,4

48.790,33.550,4

44.592,36.478,4

40.746,39.829,4

37.289,43.604,4

34.255,47.696,4

31.645,52.106,4

29.528,56.763,4

27.940,61.596,4

26.847,66.606,4

26.318,71.686,4

26.318,76.801,4

26.847,81.881,4

27.940,86.855,4

29.528,91.724,4

31.645,96.380,4

34.255,100.755,4

37.289,104.883,4

40.746,108.622,4

44.592,111.973,4

48.790,114.937,4

53.270,117.406,4

57.962,119.382,4

62.866,120.864,4

67.876,121.816,4

72.991,122.204,4

78.071,122.063,4

83.151,121.393,4

88.125,120.193,4

92.923,118.465,4

97.509,116.207,4

101.849,113.490,4

105.870,110.351,4

109.504,106.788,4

112.785,102.836,4

115.607,98.603,4

117.971,94.052,4

119.805,89.289,4

121.146,84.351,4

121.957,79.306,4

116.807,69.146,4

115.925,64.171,4

114.443,59.303,4

112.397,54.646,4

109.821,50.272,4

106.717,46.250,4

103.189,42.581,4

99.238,39.406,4

94.934,36.689,4

90.348,34.502,4

85.550,32.879,4

80.576,31.821,4

75.531,31.362,4

70.451,31.539,4

65.406,32.280,4

60.502,33.620,4

55.810,35.525,4

51.365,37.960,4

47.238,40.923,4

43.498,44.345,4

